flat_type,price,address,buildup_area,which_floor,furnishing,bedrooms,balcony
2 BHK Flat,2.05,Chembur,1200,lower,Semi Furnished,2.0,0.0
2 BHK Flat,2.65,Powai,1100,middle,Semi Furnished,2.0,0.0
2 BHK Flat,2.47,Chembur,978,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.88,Kandivali East,700,middle,Unfurnished,1.0,0.0
3 BHK Flat,7.2,Santacruz West,1600,lower,Semi Furnished,3.0,1.0
3 BHK Flat,5.21,Vile Parle East,1245,lower,Unfurnished,3.0,0.0
1 BHK Flat,1.15,Jogeshwari West,540,lower,Fully Furnished,1.0,0.0
2 BHK Flat,2.6,Santacruz East,850,lower,Unfurnished,2.0,0.0
2 BHK Flat,2.35,Govandi,1230,lower,Unfurnished,2.0,1.0
1 BHK Flat,1.6,Santacruz East,580,lower,Semi Furnished,2.0,0.0
2 BHK Flat,0.6,Nalasopara West,1080,lower,Semi Furnished,2.0,3.0
2 BHK Flat,2.95,Worli,900,middle,Unfurnished,2.0,0.0
2 BHK Flat,2.1,Chembur,1050,lower,Unfurnished,2.0,0.0
2 BHK Flat,2.2,Kandivali West,950,lower,Semi Furnished,2.0,0.0
2 BHK Flat,2.5,Powai,1300,lower,Unfurnished,2.0,1.0
1 BHK Flat,1.88,Vile Parle East,615,lower,Unfurnished,2.0,0.0
4 BHK Flat,15.0,Prabhadevi,2200,higher,Semi Furnished,4.0,0.0
2 BHK Flat,1.1,Kandivali East,645,middle,Unfurnished,2.0,0.0
2 BHK Flat,2.0,Jogeshwari West,746,middle,Semi Furnished,2.0,0.0
2 BHK Flat,1.19,Kandivali East,700,middle,Semi Furnished,2.0,1.0
2 BHK Flat,1.95,Chembur,820,lower,Unfurnished,2.0,0.0
1 BHK Flat,0.33,Naigaon East,610,middle,Unfurnished,1.0,2.0
2 BHK Flat,1.18,Vikhroli East,620,middle,Semi Furnished,2.0,0.0
1 BHK Flat,1.58,Powai,379,middle,Semi Furnished,1.0,0.0
3 BHK Flat,5.0,Matunga East,1350,lower,Semi Furnished,4.0,0.0
3 BHK Flat,4.25,Bandra East,1400,lower,Semi Furnished,3.0,0.0
2 BHK Flat,2.03,Goregaon West,900,lower,Semi Furnished,2.0,0.0
3 BHK Flat,2.84,Chembur,1459,lower,Unfurnished,3.0,1.0
4 BHK Flat,17.6,Parel,2455,higher,Semi Furnished,4.0,1.0
3 BHK Flat,3.25,Ghatkopar East,1150,lower,Unfurnished,3.0,0.0
2 BHK Flat,2.5,Chembur,820,lower,Unfurnished,2.0,0.0
3 BHK Flat,3.4,Chembur,1213,lower,Unfurnished,3.0,0.0
3 BHK Flat,3.71,Kandivali West,1169,middle,Unfurnished,3.0,0.0
3 BHK Flat,2.8,Andheri East,1600,lower,Unfurnished,3.0,3.0
3 BHK Flat,5.76,Jogeshwari East,1965,middle,Unfurnished,3.0,1.0
2 BHK Flat,1.5,Dahisar West,850,middle,Unfurnished,2.0,0.0
1 BHK Flat,2.75,Matunga West,503,middle,Unfurnished,1.0,0.0
1 BHK Flat,1.2,Borivali West,585,lower,Unfurnished,2.0,0.0
3 BHK Flat,5.1,Borivali East,1350,higher,Fully Furnished,3.0,0.0
1 BHK Flat,1.5,Chembur,550,lower,Unfurnished,1.0,0.0
3 BHK Flat,9.24,Powai,1950,middle,Semi Furnished,3.0,2.0
2 BHK Flat,3.2,Borivali East,1200,middle,Unfurnished,2.0,2.0
2 BHK Flat,2.0,Borivali West,700,lower,Unfurnished,2.0,0.0
3 BHK Flat,2.5,Dahisar East,1100,middle,Semi Furnished,3.0,0.0
1 BHK Flat,1.05,Dahisar West,650,lower,Semi Furnished,1.0,1.0
2 BHK Flat,4.1,Dadar West,1050,middle,Unfurnished,2.0,0.0
3 BHK Flat,2.25,Dahisar West,1500,middle,Unfurnished,3.0,0.0
3 BHK Flat,3.5,Chembur,1050,lower,Fully Furnished,2.0,0.0
1 BHK Flat,1.75,Borivali West,1050,lower,Semi Furnished,1.0,0.0
2 BHK Flat,1.6,Bhandup West,800,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.3,Nalasopara West,594,lower,Semi Furnished,1.0,2.0
1 BHK Flat,1.12,Kandivali East,450,lower,Unfurnished,1.0,1.0
2 BHK Flat,4.75,Khar West,778,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.66,Borivali West,1010,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.9,Bhandup West,794,lower,Semi Furnished,1.0,1.0
3 BHK Flat,3.65,Borivali West,1250,lower,Semi Furnished,3.0,0.0
1 BHK Flat,0.9,Mulund East,600,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.8,Dahisar West,890,lower,Unfurnished,2.0,2.0
3 BHK Flat,5.24,Vikhroli East,1583,lower,Semi Furnished,3.0,0.0
2 BHK Flat,1.95,Borivali West,900,lower,Semi Furnished,2.0,0.0
1 BHK Flat,1.35,Borivali West,760,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.1,Kandivali East,635,middle,Unfurnished,1.0,0.0
2 BHK Flat,0.53,Nalasopara West,1080,lower,Semi Furnished,2.0,3.0
2 BHK Flat,1.9,Kandivali East,757,middle,Semi Furnished,2.0,0.0
2 BHK Flat,3.3,Sion,1140,middle,Semi Furnished,2.0,0.0
2 BHK Flat,1.85,Mulund West,950,middle,Unfurnished,2.0,0.0
4 BHK Flat,5.75,Powai,1950,lower,Semi Furnished,4.0,2.0
2 BHK Flat,1.75,Kanjurmarg West,1000,middle,Semi Furnished,2.0,0.0
3 BHK Flat,7.2,Lower Parel,2520,lower,Semi Furnished,3.0,1.0
1 BHK Flat,0.33,Naigaon East,615,middle,Unfurnished,1.0,2.0
1 BHK Flat,0.63,Mira Road East,730,lower,Semi Furnished,1.0,2.0
3 BHK Flat,3.0,Mulund West,1250,higher,Unfurnished,3.0,0.0
1 BHK Flat,0.36,Virar West,610,lower,Semi Furnished,1.0,2.0
2 BHK Flat,0.47,Virar West,910,lower,Semi Furnished,2.0,1.0
2 BHK Flat,1.9,Borivali West,960,middle,Unfurnished,2.0,0.0
1 BHK Flat,1.32,Malad West,650,lower,Semi Furnished,1.0,0.0
2 BHK Flat,0.88,Mira Road East,1070,lower,Semi Furnished,2.0,4.0
1 BHK Flat,1.2,Wadala East,370,middle,Unfurnished,1.0,0.0
1 BHK Flat,1.05,Mulund West,525,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.8,Ghatkopar West,1053,middle,Unfurnished,2.0,0.0
2 BHK Flat,2.65,Powai,950,middle,Semi Furnished,2.0,0.0
2 BHK Flat,1.05,Bhayandar East,1100,middle,Semi Furnished,2.0,3.0
4 BHK Flat,6.3,Borivali East,1600,lower,Semi Furnished,4.0,0.0
1 BHK Flat,0.34,Virar West,650,middle,Unfurnished,1.0,2.0
2 BHK Flat,1.22,Mira Road East,1050,middle,Semi Furnished,2.0,3.0
3 BHK Flat,7.5,Chembur,2000,lower,Unfurnished,3.0,2.0
3 BHK Flat,3.95,Goregaon West,1470,middle,Semi Furnished,3.0,1.0
2 BHK Flat,1.47,Borivali East,674,middle,Unfurnished,2.0,0.0
2 BHK Flat,4.8,Byculla,980,lower,Semi Furnished,2.0,0.0
3 BHK Flat,2.15,Ghatkopar East,1020,lower,Unfurnished,3.0,0.0
2 BHK Flat,1.31,Mira Road East,920,lower,Semi Furnished,2.0,3.0
2 BHK Flat,2.0,Borivali West,1025,lower,Unfurnished,2.0,0.0
3 BHK Flat,2.83,Goregaon West,1350,lower,Semi Furnished,3.0,0.0
3 BHK Flat,2.62,Andheri West,807,lower,Unfurnished,2.0,0.0
1 BHK Flat,0.94,Mulund West,520,lower,Semi Furnished,1.0,0.0
3 BHK Flat,5.48,Goregaon East,1869,higher,Unfurnished,3.0,1.0
3 BHK Flat,3.0,Mulund West,1150,higher,Semi Furnished,3.0,0.0
2 BHK Flat,1.55,Mulund West,700,middle,Unfurnished,2.0,0.0
3 BHK Flat,2.9,Mulund West,1360,higher,Unfurnished,3.0,0.0
2 BHK Flat,1.54,Borivali East,1175,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.85,Vikhroli East,396,middle,Semi Furnished,1.0,0.0
2 BHK Flat,2.3,Kanjurmarg East,897,middle,Semi Furnished,2.0,0.0
2 BHK Flat,3.15,Santacruz East,1000,lower,Semi Furnished,2.0,2.0
2 BHK Flat,2.3,Andheri West,624,middle,Unfurnished,2.0,0.0
2 BHK Flat,2.0,Borivali West,1100,lower,Semi Furnished,2.0,0.0
2 BHK Flat,0.49,Naigaon East,755,middle,Unfurnished,2.0,3.0
2 BHK Flat,4.55,Lower Parel,1050,higher,Semi Furnished,2.0,0.0
2 BHK Flat,2.1,Goregaon West,900,middle,Semi Furnished,2.0,0.0
1 BHK Flat,1.22,Borivali West,403,lower,Unfurnished,2.0,0.0
2 BHK Flat,5.35,Santacruz West,1166,lower,Unfurnished,2.0,0.0
2 BHK Flat,3.65,Mumbai Central,1080,higher,Fully Furnished,2.0,3.0
3 BHK Flat,3.4,Malad West,1400,middle,Unfurnished,3.0,0.0
2 BHK Flat,2.5,Goregaon West,1125,middle,Semi Furnished,2.0,3.0
2 BHK Flat,4.15,Prabhadevi,1250,middle,Unfurnished,2.0,0.0
3 BHK Flat,3.6,Powai,1520,middle,Semi Furnished,3.0,1.0
2 BHK Flat,3.75,Prabhadevi,1025,middle,Unfurnished,2.0,0.0
3 BHK Flat,2.75,Dahisar West,1100,lower,Semi Furnished,3.0,2.0
4 BHK Flat,4.5,Wadala,1500,middle,Semi Furnished,4.0,0.0
1 BHK Flat,0.79,Kandivali West,600,lower,Semi Furnished,1.0,0.0
2 BHK Flat,0.4,Nalasopara West,846,lower,Semi Furnished,2.0,3.0
2 BHK Flat,1.9,Goregaon West,1000,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.9,Kandivali West,467,middle,Unfurnished,1.0,0.0
2 BHK Flat,2.1,Andheri East,845,lower,Semi Furnished,2.0,0.0
3 BHK Flat,2.0,Kandivali West,1500,middle,Semi Furnished,3.0,1.0
2 BHK Flat,3.75,Bandra West,745,lower,Semi Furnished,2.0,0.0
1 BHK Flat,1.65,Santacruz West,500,lower,Unfurnished,1.0,0.0
3 BHK Flat,5.5,Santacruz East,1770,lower,Unfurnished,3.0,0.0
3 BHK Flat,6.7,Bandra West,1550,lower,Fully Furnished,3.0,0.0
2 BHK Flat,1.1,Dahisar West,530,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.38,Virar West,700,lower,Semi Furnished,1.0,2.0
4 BHK Flat,4.48,Kandivali East,1500,lower,Semi Furnished,4.0,0.0
2 BHK Flat,1.63,Jogeshwari West,686,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.97,Vikhroli East,392,middle,Semi Furnished,1.0,0.0
1 BHK Flat,0.44,Vasai East,478,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.44,Virar West,690,middle,Semi Furnished,1.0,2.0
1 BHK Flat,0.34,Virar West,758,lower,Semi Furnished,1.0,2.0
2 BHK Flat,2.52,Goregaon West,900,middle,Semi Furnished,2.0,1.0
2 BHK Flat,1.9,Andheri East,980,lower,Unfurnished,2.0,0.0
1 BHK Flat,0.28,Virar West,650,lower,Unfurnished,1.0,2.0
3 BHK Flat,2.75,Goregaon West,1200,lower,Semi Furnished,3.0,1.0
3 BHK Flat,8.5,Lower Parel,1820,middle,Semi Furnished,4.0,1.0
3 BHK Flat,4.18,Ghatkopar East,1610,lower,Semi Furnished,3.0,1.0
2 BHK Flat,2.6,Chembur,1058,lower,Semi Furnished,2.0,1.0
2 BHK Flat,1.85,Malad East,1200,middle,Unfurnished,2.0,0.0
2 BHK Flat,1.3,Vikhroli East,750,middle,Semi Furnished,2.0,0.0
2 BHK Flat,2.2,Mulund West,1050,middle,Fully Furnished,2.0,0.0
1 BHK Flat,0.55,Mira Road East,600,lower,Semi Furnished,1.0,0.0
1 BHK Flat,1.08,Borivali West,656,lower,Unfurnished,1.0,2.0
1 BHK Flat,1.1,Dahisar West,560,lower,Semi Furnished,1.0,0.0
1 BHK Flat,0.27,Nalasopara West,595,lower,Unfurnished,1.0,2.0
1 BHK Flat,1.15,Borivali West,600,lower,Unfurnished,1.0,0.0
1 BHK Flat,0.3,Nalasopara West,660,lower,Semi Furnished,1.0,3.0
2 BHK Flat,2.5,Santacruz East,880,lower,Semi Furnished,2.0,0.0
1 BHK Flat,1.5,others,462,middle,Unfurnished,1.0,0.0
1 BHK Flat,0.45,Mira Road East,396,lower,Unfurnished,1.0,2.0
2 BHK Flat,1.65,Mulund West,950,lower,Unfurnished,2.0,1.0
1 BHK Flat,0.89,Kurla West,698,lower,Unfurnished,1.0,3.0
2 BHK Flat,1.28,Bhandup West,700,lower,Semi Furnished,2.0,1.0
1 BHK Flat,0.35,Nalasopara East,690,lower,Semi Furnished,1.0,3.0
3 BHK Flat,2.2,Borivali West,1000,lower,Semi Furnished,3.0,0.0
3 BHK Flat,5.6,Lower Parel,1580,middle,Semi Furnished,3.0,2.0
3 BHK Flat,4.68,Borivali East,1515,higher,Unfurnished,3.0,0.0
3 BHK Flat,2.75,Chembur,1150,middle,Semi Furnished,3.0,0.0
3 BHK Flat,2.35,Malad West,1050,lower,Semi Furnished,3.0,2.0
2 BHK Flat,4.85,Lower Parel,900,higher,Unfurnished,2.0,0.0
2 BHK Flat,1.85,Goregaon West,675,lower,Semi Furnished,2.0,0.0
1 BHK Flat,1.15,Kandivali West,498,middle,Semi Furnished,1.0,0.0
2 BHK Flat,1.2,Kandivali West,980,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.85,Malad East,530,middle,Fully Furnished,1.0,0.0
3 BHK Flat,4.5,Vile Parle East,1200,lower,Unfurnished,3.0,2.0
3 BHK Flat,5.5,Matunga East,1750,middle,Unfurnished,3.0,3.0
2 BHK Flat,1.35,Kandivali West,600,middle,Semi Furnished,2.0,0.0
1 BHK Flat,0.99,Andheri East,460,lower,Unfurnished,1.0,0.0
3 BHK Flat,7.25,Vile Parle West,1450,lower,Unfurnished,3.0,3.0
2 BHK Flat,0.59,Virar West,1085,lower,Semi Furnished,2.0,3.0
2 BHK Flat,1.93,Malad East,1080,middle,Semi Furnished,2.0,0.0
3 BHK Flat,3.1,Malad West,1352,lower,Semi Furnished,3.0,0.0
1 BHK Flat,1.3,Borivali West,620,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.21,Nalasopara West,620,lower,Semi Furnished,1.0,1.0
2 BHK Flat,1.79,Kandivali West,800,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.12,Mira Road East,825,middle,Semi Furnished,2.0,3.0
1 BHK Flat,1.35,Borivali West,580,middle,Unfurnished,1.0,1.0
1 BHK Flat,1.11,Mulund West,600,lower,Semi Furnished,2.0,0.0
3 BHK Flat,2.15,Malad West,1620,middle,Unfurnished,3.0,0.0
2 BHK Flat,2.15,Andheri East,1120,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.39,Kurla West,1100,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.66,Ghatkopar East,750,lower,Semi Furnished,2.0,0.0
3 BHK Flat,4.7,Borivali East,1500,higher,Semi Furnished,3.0,0.0
3 BHK Flat,1.82,Borivali East,1350,lower,Semi Furnished,3.0,3.0
3 BHK Flat,4.99,Dadar West,1250,lower,Unfurnished,3.0,0.0
1 BHK Flat,0.48,Mira Road East,557,lower,Semi Furnished,1.0,1.0
1 BHK Flat,0.9,Vikhroli East,510,middle,Unfurnished,1.0,0.0
2 BHK Flat,2.45,Goregaon East,800,middle,Fully Furnished,2.0,1.0
2 BHK Flat,2.48,Malad East,1143,higher,Semi Furnished,2.0,3.0
1 BHK Flat,0.63,Mira Road East,750,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.65,Mira Road East,674,middle,Unfurnished,1.0,2.0
1 BHK Flat,0.63,Mira Road East,730,lower,Semi Furnished,1.0,3.0
3 BHK Flat,8.5,Worli,2300,middle,Unfurnished,3.0,1.0
1 BHK Flat,0.82,Vikhroli East,660,lower,Semi Furnished,1.0,2.0
4 BHK Flat,7.5,Chembur,2100,lower,Unfurnished,4.0,4.0
1 BHK Flat,1.0,Malad West,490,middle,Unfurnished,1.0,0.0
2 BHK Flat,1.71,Andheri East,650,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.4,Ghatkopar East,749,lower,Fully Furnished,2.0,0.0
2 BHK Flat,1.35,Malad West,750,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.55,Bhayandar East,700,lower,Semi Furnished,2.0,0.0
1 BHK Flat,2.1,Dadar East,489,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.59,Dahisar East,953,middle,Semi Furnished,2.0,2.0
2 BHK Flat,2.25,Andheri West,750,middle,Semi Furnished,2.0,0.0
2 BHK Flat,1.81,Kanjurmarg East,930,middle,Unfurnished,2.0,0.0
2 BHK Flat,2.5,Jogeshwari West,1030,middle,Semi Furnished,2.0,0.0
1 BHK Flat,1.6,Parel,500,middle,Fully Furnished,1.0,0.0
1 BHK Flat,0.4,Mira Road East,525,lower,Semi Furnished,1.0,2.0
2 BHK Flat,2.0,Kanjurmarg East,1100,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.18,Palghar,630,lower,Semi Furnished,1.0,2.0
2 BHK Flat,0.87,Mira Road East,750,middle,Unfurnished,2.0,3.0
2 BHK Flat,2.35,Ghatkopar East,864,lower,Semi Furnished,2.0,0.0
2 BHK Flat,2.2,Kanjurmarg East,900,middle,Semi Furnished,2.0,2.0
3 BHK Flat,4.65,Mulund West,1926,lower,Semi Furnished,3.0,0.0
4 BHK Flat,6.0,Mulund West,1959,middle,Unfurnished,4.0,1.0
2 BHK Flat,1.5,Bhandup West,888,middle,Semi Furnished,2.0,0.0
2 BHK Flat,4.8,Sion,1000,middle,Semi Furnished,2.0,1.0
2 BHK Flat,1.85,Mulund West,663,middle,Semi Furnished,2.0,0.0
2 BHK Flat,3.0,Powai,1350,middle,Unfurnished,2.0,0.0
2 BHK Flat,2.05,Kanjurmarg West,771,middle,Semi Furnished,2.0,0.0
2 BHK Flat,1.86,Mulund East,864,higher,Unfurnished,2.0,1.0
2 BHK Flat,1.8,Mulund West,769,lower,Semi Furnished,2.0,0.0
3 BHK Flat,6.0,Wadala East,1660,middle,Unfurnished,3.0,1.0
1 BHK Flat,0.93,Bhandup West,600,middle,Semi Furnished,1.0,0.0
1 BHK Flat,0.79,Mira Road East,710,lower,Semi Furnished,1.0,2.0
1 BHK Flat,0.7,Mira Road East,756,lower,Semi Furnished,1.0,3.0
2 BHK Flat,2.69,Malad West,1080,higher,Semi Furnished,2.0,1.0
4 BHK Flat,8.0,Powai,2730,middle,Unfurnished,4.0,1.0
2 BHK Flat,3.08,Wadala East,1395,middle,Semi Furnished,2.0,1.0
1 BHK Flat,0.64,Mira Road East,590,lower,Semi Furnished,1.0,2.0
3 BHK Flat,6.0,Byculla,1800,higher,Semi Furnished,3.0,1.0
2 BHK Flat,0.51,Naigaon East,850,middle,Unfurnished,2.0,3.0
1 BHK Flat,0.8,Bhandup West,394,middle,Semi Furnished,1.0,0.0
2 BHK Flat,2.99,Powai,1150,middle,Semi Furnished,2.0,2.0
1 BHK Flat,1.22,Mulund East,650,middle,Semi Furnished,1.0,0.0
2 BHK Flat,3.2,Sion,1050,middle,Semi Furnished,2.0,3.0
2 BHK Flat,2.15,Chembur,1000,lower,Semi Furnished,2.0,0.0
1 BHK Flat,1.29,Kanjurmarg East,675,middle,Semi Furnished,1.0,0.0
2 BHK Flat,2.65,Powai,1300,lower,Semi Furnished,2.0,1.0
1 BHK Flat,0.25,Boisar,620,lower,Semi Furnished,1.0,2.0
2 BHK Flat,1.95,Mulund East,650,lower,Semi Furnished,2.0,0.0
3 BHK Flat,5.49,Andheri West,1450,middle,Unfurnished,3.0,0.0
3 BHK Flat,4.25,Powai,1500,lower,Unfurnished,2.0,1.0
2 BHK Flat,2.6,Santacruz East,1000,lower,Unfurnished,2.0,0.0
3 BHK Flat,3.95,Chembur,1820,lower,Unfurnished,3.0,1.0
2 BHK Flat,3.45,Powai,1250,middle,Semi Furnished,2.0,1.0
2 BHK Flat,1.69,Kandivali East,1000,middle,Unfurnished,2.0,0.0
2 BHK Flat,2.61,Vile Parle East,776,lower,Unfurnished,2.0,0.0
2 BHK Flat,2.25,Jogeshwari West,910,middle,Semi Furnished,2.0,0.0
1 BHK Flat,1.4,Santacruz East,600,lower,Unfurnished,2.0,0.0
2 BHK Flat,1.95,Kanjurmarg East,1245,middle,Unfurnished,2.0,0.0
2 BHK Flat,1.85,Santacruz East,660,lower,Semi Furnished,2.0,0.0
1 BHK Flat,0.24,Nalasopara West,572,lower,Semi Furnished,1.0,2.0
3 BHK Flat,4.8,Parel,1850,lower,Semi Furnished,3.0,0.0
2 BHK Flat,2.5,Powai,1250,lower,Unfurnished,2.0,1.0
3 BHK Flat,6.95,Vile Parle West,1850,lower,Unfurnished,4.0,0.0
3 BHK Flat,10.0,Lower Parel,1600,higher,Semi Furnished,3.0,0.0
2 BHK Flat,1.85,Jogeshwari West,746,middle,Semi Furnished,2.0,0.0
2 BHK Flat,0.96,Kandivali East,550,middle,Unfurnished,2.0,1.0
3 BHK Flat,2.21,Chembur,890,lower,Semi Furnished,3.0,0.0
2 BHK Flat,1.45,Bhandup West,695,middle,Unfurnished,2.0,0.0
2 BHK Flat,3.4,Matunga East,900,lower,Unfurnished,2.0,0.0
3 BHK Flat,2.49,Chembur,1350,lower,Unfurnished,3.0,1.0
3 BHK Flat,10.0,Parel,1845,middle,Semi Furnished,3.0,1.0
2 BHK Flat,3.0,Ghatkopar East,900,lower,Unfurnished,3.0,0.0
2 BHK Flat,1.75,Chembur,800,lower,Unfurnished,2.0,0.0
3 BHK Flat,3.3,Chembur,1132,lower,Unfurnished,3.0,0.0
2 BHK Flat,1.65,Borivali West,536,lower,Semi Furnished,2.0,0.0
2 BHK Flat,3.15,Santacruz East,950,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.95,Dahisar West,920,lower,Unfurnished,2.0,1.0
2 BHK Flat,1.83,Borivali West,950,middle,Unfurnished,2.0,0.0
2 BHK Flat,1.3,Kandivali East,900,middle,Semi Furnished,2.0,2.0
2 BHK Flat,3.26,Borivali West,1800,lower,Semi Furnished,2.0,0.0
2 BHK Flat,1.5,Bhandup West,1100,middle,Unfurnished,2.0,0.0
1 BHK Flat,0.95,Mulund East,530,middle,Unfurnished,1.0,0.0
3 BHK Flat,2.7,Kandivali West,1300,middle,Fully Furnished,3.0,0.0
2 BHK Flat,1.95,Kandivali East,1176,middle,Semi Furnished,2.0,0.0
1 BHK Flat,1.15,Kandivali East,495,middle,Unfurnished,1.0,0.0
3 BHK Flat,5.5,Sion,1540,middle,Semi Furnished,3.0,1.0
1 BHK Flat,1.25,Kanjurmarg East,650,middle,Unfurnished,1.0,1.0
2 BHK Flat,2.12,Kandivali East,1120,middle,Semi Furnished,2.0,3.0
